Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,data analytics course,104.0,4498.0,231.88,14.0,7.0,0.058,1892.0,2024-11-16,hyderabad,Desktop,learn data analytics
A1001,data analytics course,173.0,5107.0,216.84,10.0,8.0,0.046,1679.0,2024-11-20,hyderabad,Mobile,data analytics course
A1002,data analytics course,90.0,4544.0,203.66,26.0,9.0,0.0489792299898682,1624.0,2024-11-16,hyderabad,Desktop,data analitics online
A1003,data analytics course,142.0,3185.0,237.66,17.0,6.0,0.0489792299898682,1225.0,2024-11-26,hyderabad,Tablet,data anaytics training
A1004,data analytics course,156.0,3361.0,195.9,30.0,8.0,0.0489792299898682,1091.0,2024-11-22,hyderabad,Desktop,online data analytic
A1005,data analytics course,195.0,3776.0,243.57,10.0,8.0,0.0489792299898682,1315.0,2024-11-16,hyderabad,Mobile,data anaytics training
A1006,data analytics course,116.0,4480.0,237.79,17.0,5.0,0.043,1640.0,2024-06-11,hyderabad,Tablet,data analytics course
A1007,data analytics course,184.0,5060.0,229.61,23.0,3.0,0.016,1509.0,2024-11-24,hyderabad,Tablet,analytics for data
A1008,data analytics course,113.0,5434.0,215.09062325209752,27.0,4.0,0.058,1362.0,2024-11-24,hyderabad,Tablet,data anaytics training
A1009,data analytics course,166.0,3355.0,186.78,24.0,9.0,0.054,1029.0,2024-11-12,hyderabad,Mobile,online data analytic
A1010,data analytics course,101.0,5399.0,236.79,20.0,6.0,0.059,1900.0,2024-11-14,hyderabad,Desktop,learn data analytics
A1011,data analytics course,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,2024-11-22,hyderabad,Desktop,online data analytic
A1012,data analytics course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,2024-11-27,hyderabad,Desktop,data analitics online
A1013,data analytics course,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,2024-12-11,hyderabad,Mobile,data anaytics training
A1014,data analytics course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,hyderabad,Desktop,data anaytics training
A1015,data analytics course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,hyderabad,Desktop,data analytics course
A1016,data analytics course,193.0,5159.0,215.09062325209752,15.0,9.0,0.047,1614.0,2024-11-10,hyderabad,Mobile,learn data analytics
A1017,data analytics course,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,2024-12-11,hyderabad,Mobile,learn data analytics
